,Problem.,Description,Etiqueta,Fecha,Month,Year,Locacion,CON_TRAMPA,BTN_VIVO,BTN_PERF,BTN_SECO,NUM_INFLOR,NUM_FLOR,NUM_RFV,NUM_FV,NUM_RFM,NUM_FM,NUM_RAC_SECO,COD_VIEJO,Notas,X,month_year,cat DELETE,count DELETE
88,,,87,17-May-08,MAY,2008,SH620 160M.W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,8739585MAY2008SH620 160M.WNO00000000000Adulto43593,1
89,,,89,17-May-08,MAY,2008,SH620 8M.W,NO,1,0,0,1,e,0,0,0,0,0,689,Adulto,,8-May,8939585MAY2008SH620 8M.WNO1001e00000689Adulto43593,1
90,,,92,17-May-08,MAY,2008,SH350 5M.E,NO,0,0,0,1,0,0,0,0,0,0,667,Adulto,,8-May,9239585MAY2008SH350 5M.ENO0001000000667Adulto43593,1
91,,,93,17-May-08,MAY,2008,SH400 10M.W,NO,0,0,0,0,0,0,0,0,0,0,668,Adulto,,8-May,9339585MAY2008SH400 10M.WNO0000000000668Adulto43593,1
92,,,94,17-May-08,MAY,2008,SH480 200M.W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,9439585MAY2008SH480 200M.WNO00000000000Adulto43593,1
93,,,95,17-May-08,MAY,2008,SH440 210M.W,NO,2,0,0,0,0,0,0,0,0,0,SI,Adulto,,8-May,9539585MAY2008SH440 210M.WNO2000000000SIAdulto43593,1
94,,,96,17-May-08,MAY,2008,SH500 210M.W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,9639585MAY2008SH500 210M.WNO00000000000Adulto43593,1
95,,,97,17-May-08,MAY,2008,SH610 220M.W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,9739585MAY2008SH610 220M.WNO00000000000Adulto43593,1
96,,,98,17-May-08,MAY,2008,SH900 250M.W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,9839585MAY2008SH900 250M.WNO00000000000Adulto43593,1
97,,,132,17-May-08,MAY,2008,SH 900 80 E,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,13239585MAY2008SH 900 80 ENO00000000000Adulto43593,1
98,,,134,17-May-08,MAY,2008,SH 900 50 E,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,13439585MAY2008SH 900 50 ENO0000000000043593,1
99,,,20,6-Jun-08,JUN,2008,SH830 25ME.E,NO,0,0,2,0,0,0,0,0,0,0,0,,,8-Jun,2039605JUN2008SH830 25ME.ENO0020000000043624,1
100,,,21,6-Jun-08,JUN,2008,SH820 1ME.E,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-Jun,2139605JUN2008SH820 1ME.ENO0000000000043624,1
101,,,38,6-Jun-08,JUN,2008,SH790 10ME.E,NO,1,0,0,0,0,0,0,0,0,0,715,,,8-Jun,3839605JUN2008SH790 10ME.ENO100000000071543624,1
102,,,39,6-Jun-08,JUN,2008,SH790 12ME.E,NO,0,0,0,0,0,0,0,0,0,0,716,,,8-Jun,3939605JUN2008SH790 12ME.ENO000000000071643624,1
103,,,40,6-Jun-08,JUN,2008,SH190 40ME.E,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-Jun,4039605JUN2008SH190 40ME.ENO0000000000043624,1
